x	y	z	Event	Energy	Time
-8.5070493914e-01 3.0822909128e-01 -1.5635480906e+05 1 2.5720537883e+03 9.2765555277e-02
-4.0048695109e-01 2.7051541770e-01 -1.7611016309e+05 1 3.0099719680e+03 8.5243993222e-02
9.2936468879e-02 1.3317640562e-01 -1.9849806605e+05 1 1.4310591386e+03 7.6720129078e-02
-1.9211482325e-01 1.4944747514e-01 -2.3559821623e+05 1 8.6615089801e+03 6.2594799027e-02
-2.4259921846e-01 6.5701327399e-02 -2.5601015885e+05 1 1.1921705231e+03 5.4823257710e-02
-2.5464393134e-01 5.1364099115e-02 -2.6011408936e+05 1 5.5022214978e+03 5.3260747719e-02
-2.5508706770e-01 2.8751213473e-02 -2.6487437060e+05 1 1.7746277499e+03 5.1448342197e-02
-3.4583506046e-02 -3.6179518737e-02 -2.9215680877e+05 1 1.9883174287e+03 4.1060965980e-02
0.0000000000e+00 0.0000000000e+00 -3.1469103500e+05 1 3.6892741419e+03 3.2481401408e-02
-9.0753120238e+00 8.4174997304e+00 3.1882480689e+05 1 1.2208964736e+03 2.7368373079e-01
-8.9329083857e+00 8.2097408129e+00 3.1321822500e+05 1 1.4011778470e+03 2.7154909536e-01
-7.9149401520e+00 6.7487680001e+00 2.6853936953e+05 1 3.9545660286e+03 2.5453819112e-01
-7.5994953199e+00 6.3965878547e+00 2.5704946343e+05 1 1.1956577272e+03 2.5016355661e-01
-7.4617561971e+00 6.2161887837e+00 2.5122400937e+05 1 1.1434220217e+03 2.4794558980e-01
-6.4384155488e+00 5.2004345638e+00 2.1899777953e+05 1 8.7671864287e+01 2.3567586992e-01
-9.9957534895e+02 3.9603709223e+03 2.2028108056e+05 1 1.5673166390e+03 2.3997337164e-01
-1.0595807919e+04 2.0146958640e+04 2.3382237633e+05 1 7.1833285190e+03 2.6311363602e-01
-4.0042424888e+03 5.3881266415e+04 2.6903557362e+05 1 7.3873442948e+03 3.1053100261e-01
1.6345757754e+04 6.5796614062e+04 2.8409067533e+05 1 1.2558068929e+03 3.4182668104e-01
1.5155688478e+04 6.4912658415e+04 2.9058464410e+05 1 7.7747736075e+03 3.5291951940e-01
1.5155688478e+04 6.4912658415e+04 2.9058464410e+05 1 1.5390519147e+03 3.5291951940e-01
-1.0595807919e+04 2.0146958640e+04 2.3382237633e+05 1 1.7276971000e+03 2.6311363602e-01
-9.9957534895e+02 3.9603709223e+03 2.2028108056e+05 1 1.7469847551e+03 2.3997337164e-01
-6.3927153881e+00 5.1501319931e+00 2.1765309646e+05 1 1.2504731336e+03 2.3516389941e-01
-5.8867991344e+00 4.2571150626e+00 1.9653885336e+05 1 3.4499292918e+03 2.2712492871e-01
-5.6316496128e+00 3.7730133546e+00 1.8428942227e+05 1 1.3731304131e+03 2.2246111937e-01
