x	y	z	Event	Energy	Time
6.9245945526e-01 1.2498104819e+00 -1.4199233975e+05 3 1.8524229516e+03 9.8233874016e-02
7.1489414957e-01 1.2552458257e+00 -1.4050665921e+05 3 1.2447397534e+04 9.8799525579e-02
9.5313785634e-01 1.2850958032e+00 -1.2538955181e+05 3 5.4337273247e+03 1.0455514763e-01
1.0903602478e+00 1.2868208210e+00 -1.1839959325e+05 3 5.0716360348e+03 1.0721647456e-01
1.2857973777e+00 1.3295808531e+00 -1.0937521760e+05 3 6.9739067112e+02 1.1065237698e-01
1.3011990582e+00 1.3330629508e+00 -1.0872774073e+05 3 3.8629950686e+03 1.1089889458e-01
1.3834544610e+00 1.3530829046e+00 -1.0531418455e+05 3 1.0444055900e+04 1.1219855755e-01
1.6463724149e+00 1.4629415211e+00 -9.3598482601e+04 3 7.4449453990e+03 1.1665914476e-01
1.7596483652e+00 1.5266711562e+00 -8.7716427221e+04 3 2.5749389252e+03 1.1889865412e-01
1.8140709341e+00 1.5535765333e+00 -8.5504960588e+04 3 3.1587789750e+04 1.1974063882e-01
2.6076641317e+00 2.0395473180e+00 -5.2306825636e+04 3 9.4726929608e+03 1.3238036057e-01
2.8650165353e+00 2.2151480696e+00 -4.0122946538e+04 3 3.3956938169e+03 1.3701920222e-01
2.9404070947e+00 2.2885541188e+00 -3.6233756937e+04 3 5.7589756935e+03 1.3849995695e-01
3.0887100249e+00 2.4293954190e+00 -2.8513434619e+04 3 3.5231610601e+03 1.4143936215e-01
3.1607716387e+00 2.5046218866e+00 -2.4941599555e+04 3 5.3503144516e+03 1.4279928870e-01
3.2625078899e+00 2.5984344541e+00 -2.0781401323e+04 3 2.4182421022e+03 1.4438322645e-01
3.3419771143e+00 2.6786018072e+00 -1.7592572178e+04 3 2.6165981504e+04 1.4559732898e-01
4.0138681552e+00 3.4289674006e+00 1.5148384955e+04 3 5.8779753089e+04 1.5806299546e-01
6.4908859847e+00 4.3125380840e+00 8.0404775177e+04 3 1.2599886196e+04 1.8290846990e-01
6.7766007351e+00 4.4966296620e+00 9.4926874197e+04 3 5.8923134507e+03 1.8843756293e-01
6.8959702455e+00 4.5581593123e+00 1.0102059175e+05 3 1.0109871676e+04 1.9075766391e-01
7.2090678994e+00 4.7097079321e+00 1.1552766420e+05 3 7.5383492587e+03 1.9628103702e-01
7.3809133557e+00 4.8899974916e+00 1.2437797034e+05 3 1.5885900233e+04 1.9965067287e-01
7.6899398373e+00 5.1934944626e+00 1.3948897861e+05 3 2.1668765256e+03 2.0540398796e-01
7.7001525202e+00 5.2097756106e+00 1.4176243707e+05 3 6.7039487089e+03 2.0626957718e-01
7.7306709435e+00 5.2662144330e+00 1.4879604803e+05 3 7.2962363449e+03 2.0894753154e-01
7.7142574419e+00 5.3351295897e+00 1.5690620340e+05 3 2.5331567991e+03 2.1203536625e-01
7.6813755805e+00 5.3437612036e+00 1.6019166299e+05 3 5.9344755423e+03 2.1328626224e-01
7.6136218843e+00 5.3257231741e+00 1.6835836209e+05 3 8.3238205160e+03 2.1639562681e-01
7.5011841026e+00 5.3127079139e+00 1.7842833667e+05 3 2.5152019051e+04 2.2022963904e-01
6.9280305692e+00 5.4181305218e+00 2.0890354616e+05 3 1.7337596160e+03 2.3183268097e-01
6.8562566755e+00 5.4191173266e+00 2.1128967291e+05 3 1.4585708349e+04 2.3274116811e-01
6.3532161445e+00 5.3872096577e+00 2.2733491850e+05 3 6.6135149763e+03 2.3885018956e-01
6.1298494680e+00 5.4093591215e+00 2.3630599810e+05 3 1.1843069779e+04 2.4226581358e-01
5.6594733126e+00 5.3646364168e+00 2.5355692442e+05 3 1.8064100138e+03 2.4883388420e-01
5.5484214022e+00 5.3669146654e+00 2.5677401876e+05 3 4.1671049221e+03 2.5005875244e-01
5.4509993598e+00 5.3653797124e+00 2.5935147914e+05 3 1.5250528920e+04 2.5104008811e-01
4.7675585961e+00 5.2901639204e+00 2.7709709499e+05 3 7.7886166160e+02 2.5779650884e-01
4.7263216419e+00 5.2843694972e+00 2.7805064427e+05 3 4.5021609940e+03 2.5815956083e-01
4.4679187537e+00 5.2525790395e+00 2.8424254419e+05 3 6.2688749117e+03 2.6051704953e-01
4.1031777945e+00 5.2037662905e+00 2.9324073736e+05 3 2.2171111160e+04 2.6394299959e-01
0.0000000000e+00 0.0000000000e+00 -3.2000000000e+05 3 3.4479619888e+03 3.0460093763e-02
0.0000000000e+00 0.0000000000e+00 -3.1703222481e+05 3 1.0044773238e+04 3.1590029011e-02
7.8440957391e-03 1.2729720206e-02 -3.0663484046e+05 3 3.2026097185e+02 3.5548675080e-02
1.0690808842e-02 1.4041432479e-02 -3.0571803435e+05 3 2.8508547963e+03 3.5897735130e-02
1.0400086938e-02 1.5113987927e-02 -3.0285108245e+05 3 1.4647043041e+02 3.6989283770e-02
1.1059756520e-02 1.4000603849e-02 -3.0200416189e+05 3 4.1437272634e+03 3.7311736014e-02
5.4721434933e-03 1.3415151474e-02 -2.9696697939e+05 3 2.0124366844e+04 3.9229567399e-02
2.0584060466e-02 -1.3752466553e-02 -2.7739063445e+05 3 1.8687082102e+04 4.6682967112e-02
6.2446285156e-02 -3.4313259494e-02 -2.5853862070e+05 3 1.8311621127e+04 5.3860590112e-02
5.1022895668e-02 -8.6287512058e-02 -2.4101540581e+05 3 4.8630655637e+03 6.0532293990e-02
-1.1428782519e-02 -8.7081247945e-02 -2.3497715850e+05 3 1.6926725692e+04 6.2831267431e-02
-4.1626195687e-01 -3.8380127987e-01 -2.1442523932e+05 3 4.2458580475e+03 7.0656119855e-02
-5.2569183467e-01 -5.2192902767e-01 -2.0885404087e+05 3 4.8386772969e+04 7.2777275222e-02
-1.6086398458e+00 -1.9650971452e+00 -1.5470725361e+05 3 1.0651669040e+04 9.3392903178e-02
-1.7971493608e+00 -2.3653228706e+00 -1.4379653932e+05 3 1.0262417891e+04 9.7547006472e-02
-1.9620590506e+00 -2.8221139561e+00 -1.3278450028e+05 3 3.4349959980e+04 1.0173968828e-01
-2.3612700122e+00 -4.6183757006e+00 -9.0035754263e+04 3 1.6429904509e+04 1.1801568490e-01
-2.4004278467e+00 -5.1084255644e+00 -7.3828421236e+04 3 1.9933294449e+03 1.2418640601e-01
-2.3910654296e+00 -5.1835166396e+00 -7.1320291180e+04 3 4.2401947714e+03 1.2514134251e-01
-2.3654519632e+00 -5.3134526742e+00 -6.6746505115e+04 3 1.4760859600e+04 1.2688274956e-01
-2.3956680304e+00 -5.9206215434e+00 -4.5314969417e+04 3 1.4273516324e+04 1.3504251729e-01
-2.3690882003e+00 -6.4938252806e+00 -2.7750204702e+04 3 3.1299663744e+04 1.4173006594e-01
-1.8539930806e+00 -7.3886014624e+00 7.3958887349e+03 3 3.3765176815e+04 1.5511147209e-01
-1.3028930614e+00 -8.0610804669e+00 4.3015315403e+04 3 1.3244030203e+04 1.6867309815e-01
-1.6064996609e+00 -8.1159274846e+00 5.7763876643e+04 3 3.2814851807e+03 1.7428841982e-01
-1.6738348356e+00 -8.1195275057e+00 6.0526053067e+04 3 7.6955044146e+03 1.7534008257e-01
-1.8504978237e+00 -8.1370179274e+00 6.8839418694e+04 3 7.7025922000e+03 1.7850528859e-01
-2.0277927435e+00 -8.2085611912e+00 7.9253143490e+04 3 1.0348042816e+04 1.8247017944e-01
-2.2609423719e+00 -8.2855098382e+00 9.1685285686e+04 3 3.0420410459e+04 1.8720355713e-01
-3.1453558797e+00 -8.2826336789e+00 1.2648813643e+05 3 1.8036475700e+03 2.0045429488e-01
-3.1769323104e+00 -8.2752783690e+00 1.2781118526e+05 3 3.1487127478e+03 2.0095802887e-01
-3.3179970485e+00 -8.2435150183e+00 1.3366585813e+05 3 1.5837659568e+04 2.0318712100e-01
-3.6345134164e+00 -8.2189474461e+00 1.5069697437e+05 3 7.6990401083e+01 2.0967150310e-01
-3.6370189155e+00 -8.2186507299e+00 1.5083490614e+05 3 8.9233771686e+03 2.0972401888e-01
-3.7705883493e+00 -8.2020847572e+00 1.5887781731e+05 3 1.2541716300e+04 2.1278625616e-01
-3.9837833571e+00 -8.2445114623e+00 1.7260186315e+05 3 4.1731231594e+02 2.1801151453e-01
-3.9923760240e+00 -8.2449221116e+00 1.7308841929e+05 3 5.1958094534e+03 2.1819676471e-01
-4.1152542792e+00 -8.2462801995e+00 1.7914430426e+05 3 7.2405987328e+03 2.2050246742e-01
-4.2688071905e+00 -8.2349429222e+00 1.8812867622e+05 3 7.0149663794e+03 2.2392315528e-01
-4.3709453754e+00 -8.1713420795e+00 1.9531460981e+05 3 1.6441903534e+04 2.2665911034e-01
-4.7976994044e+00 -8.0400209388e+00 2.1747001317e+05 3 1.8317944080e+04 2.3509450727e-01
-5.2170897519e+00 -8.0820553255e+00 2.3456185808e+05 3 8.3227755539e+03 2.4160201793e-01
-5.2966117354e+00 -8.2011428087e+00 2.4099962266e+05 3 1.3904240607e+04 2.4405311871e-01
-5.4904933972e+00 -8.4777065966e+00 2.5669525725e+05 3 3.9534026264e+03 2.5002904179e-01
-5.5878784620e+00 -8.5958567520e+00 2.6217258911e+05 3 2.0461644152e+04 2.5211446998e-01
-5.9128464466e+00 -8.9324813626e+00 2.8168622078e+05 3 1.3684112556e+04 2.5954405077e-01
-6.0503193614e+00 -9.2832242943e+00 2.9844031898e+05 3 1.7037228156e+04 2.6592297400e-01
0.0000000000e+00 0.0000000000e+00 -3.2000000000e+05 3 1.8416403497e+04 3.0460093763e-02
0.0000000000e+00 0.0000000000e+00 -2.9978965354e+05 3 7.1553218647e+03 3.8154875668e-02
-5.5079923490e-02 -8.1920654445e-02 -2.8886804443e+05 3 6.8726498673e+04 4.2313113024e-02
-2.9348963736e-01 -6.2343608993e-01 -2.1477583964e+05 3 2.0841975914e+03 7.0522602042e-02
-3.0008108133e-01 -6.2661027915e-01 -2.1257791082e+05 3 4.6747657620e+03 7.1359430857e-02
-3.2395280357e-01 -6.3809495151e-01 -2.0593970593e+05 3 3.8001777810e+03 7.3886829053e-02
-3.4809920615e-01 -6.3516046719e-01 -2.0108973189e+05 3 1.4970358883e+04 7.5733384925e-02
-4.0027426967e-01 -5.8600132281e-01 -1.8745378840e+05 3 5.2255173114e+03 8.0925068966e-02
-4.1849722427e-01 -5.2954681183e-01 -1.8062843069e+05 3 1.9470854783e+03 8.3523723494e-02
-4.2353416902e-01 -4.9957452906e-01 -1.7693016226e+05 3 1.0128710869e+04 8.4931784883e-02
-4.0252976387e-01 -4.5821265997e-01 -1.6914329485e+05 3 1.8288625090e+03 8.7896520446e-02
-3.9743586504e-01 -4.5066699631e-01 -1.6777345459e+05 3 3.8761596903e+04 8.8418067144e-02
-1.3412986491e-01 -4.3314267423e-02 -1.2199094001e+05 3 2.1654594387e+04 1.0584909235e-01
1.1244714860e-01 1.5539997886e-01 -9.3934614155e+04 3 3.4976133847e+02 1.1653113384e-01
1.3224646598e-01 1.4223635247e-01 -9.2575138827e+04 3 2.5951856705e+04 1.1704873465e-01
6.1266754235e-01 -2.2008036209e-01 -6.3116494515e+04 3 2.6074601661e+04 1.2826469300e-01
1.0963179032e+00 -5.3774894911e-01 -3.3135319759e+04 3 6.8303230647e+03 1.3967960065e-01
1.1492510840e+00 -6.5417463424e-01 -2.3721773353e+04 3 1.8076350014e+03 1.4326367615e-01
1.1725514063e+00 -6.9032493444e-01 -2.0204757550e+04 3 9.4204551040e+03 1.4460273065e-01
1.2395435423e+00 -8.3168250889e-01 -8.4109695247e+03 3 1.5075257772e+03 1.4909305060e-01
1.2355592851e+00 -8.2275400362e-01 -6.0988525097e+03 3 1.6570001220e+04 1.4997335698e-01
1.2254149670e+00 -6.4054533915e-01 1.4958610791e+04 3 2.3300902905e+02 1.5799069368e-01
1.2261489657e+00 -6.4491681792e-01 1.5593604344e+04 3 2.4355105926e+04 1.5823245909e-01
1.2763442974e+00 -8.9226708991e-01 4.1016739391e+04 3 2.6304864355e+04 1.6791198207e-01
1.1609432101e+00 -1.0297647877e+00 7.4680491668e+04 3 3.8066545930e+03 1.8072901446e-01
1.1620286260e+00 -1.0259853442e+00 7.7852419259e+04 3 5.5670413289e+02 1.8193668496e-01
1.1629078709e+00 -1.0252840764e+00 7.8384372300e+04 3 7.7101702247e+03 1.8213921922e-01
1.1815586607e+00 -1.0209031372e+00 8.5518678157e+04 3 1.2953731327e+04 1.8485551431e-01
1.2632724823e+00 -9.8473802815e-01 9.9708693780e+04 3 2.1031432292e+04 1.9025818049e-01
1.4385938271e+00 -9.1784003160e-01 1.1962426272e+05 3 3.2033476837e+04 1.9784077852e-01
1.8122734167e+00 -6.5868342714e-01 1.5652149562e+05 3 2.3263618327e+03 2.1188893070e-01
1.8622027846e+00 -6.0597517187e-01 1.5950449968e+05 3 1.2373960103e+03 2.1302467194e-01
1.8723962230e+00 -5.9428667904e-01 1.6016698186e+05 3 4.2982354682e+03 2.1327690369e-01
1.9365777249e+00 -5.1754424813e-01 1.6466289903e+05 3 1.7624352618e+04 2.1498866765e-01
2.3241743339e+00 -5.9147080105e-02 1.8539780190e+05 3 3.1134990487e+04 2.2288322177e-01
2.9319189776e+00 1.0075185913e+00 2.2034040842e+05 3 1.8302328233e+03 2.3618718326e-01
2.9799420509e+00 1.0570227753e+00 2.2321552297e+05 3 3.0200137525e+04 2.3728184758e-01
3.6339110837e+00 1.6777564557e+00 2.5767068356e+05 3 1.4683316740e+04 2.5040022451e-01
4.0859548391e+00 2.0613563280e+00 2.7666356554e+05 3 2.0678951066e+04 2.5763153193e-01
4.5308905253e+00 2.4336218153e+00 2.9842219356e+05 3 7.3098604006e+03 2.6591586461e-01
4.6390578050e+00 2.5638754637e+00 3.0450646595e+05 3 2.3703107773e+03 2.6823237811e-01
4.6806608891e+00 2.6088272576e+00 3.0674520147e+05 3 5.1445854216e+01 2.6908474980e-01
4.6912276234e+00 2.6209425325e+00 3.0726120543e+05 3 4.6181021614e+03 2.6928121213e-01
4.7866931619e+00 2.7146615096e+00 3.1216526894e+05 3 6.8384887567e+03 2.7114837577e-01
0.0000000000e+00 0.0000000000e+00 -3.2000000000e+05 3 9.7240082918e+03 3.0460093763e-02
0.0000000000e+00 0.0000000000e+00 -3.0931430894e+05 3 2.8558771228e+04 3.4528508045e-02
-2.8621475605e-01 2.7221264028e-01 -2.7513779566e+05 3 1.9410069886e+04 4.7540696892e-02
-1.0217079164e+00 4.0662956709e-01 -2.5236814296e+05 3 1.2731748327e+03 5.6209899181e-02
-1.0588478163e+00 4.0210211395e-01 -2.5116438725e+05 3 1.3898583419e+04 5.6668211141e-02
-1.7519402794e+00 3.6292895181e-01 -2.3139982459e+05 3 1.1642732189e+04 6.4193273722e-02
-2.0191562718e+00 2.4438611444e-01 -2.2166608262e+05 3 2.3069292562e+04 6.7899251469e-02
-2.8416288625e+00 -6.6673718276e-02 -1.9533249545e+05 3 1.3864574396e+04 7.7925375660e-02
-3.0945988997e+00 -4.8759112845e-01 -1.8211701952e+05 3 1.6472023908e+04 8.2956974059e-02
-3.2911812259e+00 -1.0905450598e+00 -1.6598360727e+05 3 5.3074691385e+03 8.9099534788e-02
-3.4306579813e+00 -1.3195388680e+00 -1.5928342973e+05 3 1.9857040948e+04 9.1650529833e-02
-3.9406751109e+00 -2.2895725412e+00 -1.3281370829e+05 3 3.7557524438e+03 1.0172849181e-01
-4.0193762298e+00 -2.4067842083e+00 -1.2956872599e+05 3 9.3915616853e+03 1.0296397195e-01
-4.2966834674e+00 -2.7792942703e+00 -1.1855120249e+05 3 1.1663271015e+04 1.0715873551e-01
-4.5895342028e+00 -3.1513097399e+00 -1.0669928014e+05 3 3.8609078082e+03 1.1167118494e-01
-4.7886327049e+00 -3.2976573692e+00 -1.0015850254e+05 3 1.0061392994e+04 1.1416149255e-01
-5.2360740293e+00 -3.6024242450e+00 -8.5903188722e+04 3 3.9163361843e+03 1.1958899986e-01
-5.4387501838e+00 -3.7208287057e+00 -7.9883205484e+04 3 2.5505203259e+04 1.2188102282e-01
-6.5752387325e+00 -4.3456890922e+00 -4.7940644719e+04 3 4.9839227552e+03 1.3404269908e-01
-6.8160179664e+00 -4.4639274218e+00 -4.2325280169e+04 3 1.3985726265e+04 1.3618066995e-01
-7.3200655492e+00 -4.7243223167e+00 -3.0847573528e+04 3 6.4735664439e+03 1.4055064522e-01
-7.6385267910e+00 -4.8893190162e+00 -2.3935420924e+04 3 4.7173867708e+03 1.4318235044e-01
-7.8539448210e+00 -5.0075226385e+00 -1.9185912039e+04 3 1.8599722443e+03 1.4499065951e-01
-8.0854672911e+00 -5.1279077936e+00 -1.4116864342e+04 3 7.9532194959e+03 1.4692062863e-01
-8.4676564702e+00 -5.4495636245e+00 -5.4825343994e+03 3 7.2049660478e+03 1.5020802928e-01
-8.6660361659e+00 -5.6378746146e+00 -9.7506102016e+02 3 1.2904321617e+04 1.5192418712e-01
-9.2655410870e+00 -6.1957992394e+00 1.3350690567e+04 3 3.8775899233e+03 1.5737851835e-01
-9.4172706403e+00 -6.3584230443e+00 1.7048999134e+04 3 2.3950609613e+03 1.5878659822e-01
-9.5592530246e+00 -6.5168194751e+00 2.0590968350e+04 3 1.2344273326e+04 1.6013515413e-01
-1.0115932535e+01 -7.1424870597e+00 3.3955096094e+04 3 1.4730626736e+04 1.6522336154e-01
-1.0804390469e+01 -7.9376574048e+00 5.0035966880e+04 3 1.7873935670e+04 1.7134593224e-01
-1.1554284885e+01 -8.9111339277e+00 6.8772680029e+04 3 4.9753022326e+03 1.7847967962e-01
-1.1695850984e+01 -9.2137187835e+00 7.3523909639e+04 3 2.7212669178e+03 1.8028864571e-01
-1.1793034657e+01 -9.4967749365e+00 7.8001967295e+04 3 3.8897806332e+03 1.8199360542e-01
-1.1887578988e+01 -9.8059916685e+00 8.2722402797e+04 3 5.6945293772e+03 1.8379084726e-01
-1.1981857085e+01 -1.0179040282e+01 8.8509383955e+04 3 1.6271984166e+04 1.8599416202e-01
-1.2267221356e+01 -1.1116743264e+01 1.0483886191e+05 3 3.2452571495e+03 1.9221139030e-01
-1.2315380122e+01 -1.1303258045e+01 1.0791944580e+05 3 1.4954058271e+04 1.9338428123e-01
-1.2518756391e+01 -1.2233885770e+01 1.2301712860e+05 3 4.8061369529e+03 1.9913252148e-01
-1.2622777557e+01 -1.2699110745e+01 1.2982677787e+05 3 2.9104615934e+02 2.0172520453e-01
-1.2626296697e+01 -1.2718117713e+01 1.3008574909e+05 3 3.0866609951e+03 2.0182380437e-01
-1.2665217790e+01 -1.2922205147e+01 1.3292224117e+05 3 1.8743722702e+04 2.0290376100e-01
-1.2831077413e+01 -1.4222015199e+01 1.5068649364e+05 3 1.5455956302e+04 2.0966726561e-01
-1.3066577291e+01 -1.5569766187e+01 1.7000342770e+05 3 5.6278047566e+03 2.1702193478e-01
-1.3131532751e+01 -1.5906997622e+01 1.7481442181e+05 3 5.0322213515e+03 2.1885365796e-01
-1.3239248623e+01 -1.6457359657e+01 1.8254010484e+05 3 1.0639946050e+04 2.2179511107e-01
-1.3479739191e+01 -1.7365397900e+01 1.9521650842e+05 3 1.3614586134e+03 2.2662148695e-01
-1.3508317505e+01 -1.7488495871e+01 1.9689390439e+05 3 5.1946956472e+03 2.2726013374e-01
-1.3630324422e+01 -1.7910747341e+01 2.0273087614e+05 3 2.7518851803e+03 2.2948248523e-01
-1.3723554093e+01 -1.8187632000e+01 2.0650869902e+05 3 1.9144978070e+04 2.3092084254e-01
-1.4336809031e+01 -1.9721808742e+01 2.2659123574e+05 3 1.0904532222e+04 2.3856701194e-01
-1.4692279756e+01 -2.0603856206e+01 2.3786582607e+05 3 5.9441161743e+03 2.4285966973e-01
-1.4957945691e+01 -2.1227231162e+01 2.4588972405e+05 3 1.0355101529e+04 2.4591466793e-01
-1.5502210470e+01 -2.2355287336e+01 2.6079269517e+05 3 2.4317408938e+04 2.5158878712e-01
-1.6597432957e+01 -2.4259607039e+01 2.8746489669e+05 3 9.1916764550e+03 2.6174389481e-01
-1.7203135991e+01 -2.5265811748e+01 3.0109472413e+05 3 9.2437069876e+03 2.6693328320e-01
-1.7767720497e+01 -2.6066719849e+01 3.1152565267e+05 3 5.5085171290e+03 2.7090473169e-01
0.0000000000e+00 0.0000000000e+00 -3.2000000000e+05 3 1.8596541576e+03 3.0460093763e-02
0.0000000000e+00 0.0000000000e+00 -3.1848499720e+05 3 9.3476658838e+02 3.1036908029e-02
2.7985498962e-04 -1.8321998450e-04 -3.1677337404e+05 3 2.3563132967e+04 3.1688582514e-02
7.5512020127e-02 -1.0898002610e-02 -2.8616268614e+05 3 3.1003844577e+03 4.3343136744e-02
6.6722473365e-02 -1.7349444179e-03 -2.8305549749e+05 3 1.5022527501e+04 4.4526151897e-02
7.2842087678e-02 7.4743069848e-02 -2.6830603941e+05 3 1.3079457371e+04 5.0141785572e-02
1.1684982289e-01 4.9782899628e-02 -2.5115104933e+05 3 1.1326145885e+04 5.6673290308e-02
1.9270244938e-01 8.5159876713e-02 -2.3929676071e+05 3 7.0840486187e+03 6.1186633256e-02
2.6946851814e-01 1.0898576752e-01 -2.3074586951e+05 3 1.8752786998e+04 6.4442257480e-02
4.8546499550e-01 1.6541109492e-01 -2.1569826155e+05 3 1.6537107893e+04 7.0171410189e-02
6.9502433905e-01 1.5142284062e-01 -1.9648206660e+05 3 6.4431279799e+01 7.7487691765e-02
6.9485891629e-01 1.5188579572e-01 -1.9637871601e+05 3 5.3883318506e+03 7.7527040978e-02
6.9735846516e-01 1.6382285685e-01 -1.9348881379e+05 3 4.3433680818e+03 7.8627328684e-02
7.0021113752e-01 1.7563792738e-01 -1.8829945014e+05 3 1.4246127121e+04 8.0603102767e-02
7.2772171201e-01 2.5918833893e-01 -1.7031183586e+05 3 5.6841357660e+03 8.7451623399e-02
7.4066825445e-01 3.0651011114e-01 -1.6419407559e+05 3 1.0832262275e+03 8.9780871359e-02
7.4681546351e-01 3.2089389160e-01 -1.6267749148e+05 3 6.2606298334e+03 9.0358288770e-02
7.5751827741e-01 3.7975418593e-01 -1.5658725119e+05 3 2.7984648085e+04 9.2677059664e-02
7.8998499861e-01 7.0202852016e-01 -1.2695721457e+05 3 6.1318207942e+02 1.0395826832e-01
7.8288980839e-01 7.2077956479e-01 -1.2583702024e+05 3 2.5945043633e+04 1.0438476627e-01
5.8933604519e-01 1.0958379300e+00 -1.0104877991e+05 3 1.0415561815e+04 1.1382253403e-01
